opis_id,name,address,city,state,rack_id,retail_price,price_sample_count,price_min,price_max,latitude,longitude,geocode_precision
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733,1,3.00733,3.00733,36.537870,-95.221360,city
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733,1,3.28733,3.28733,43.978580,-90.504020,city
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.89900,2,3.89900,3.89900,32.947820,-112.716830,city
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.39900,1,3.39900,3.39900,35.385920,-94.398550,city
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.07900,1,3.07900,3.07900,40.926210,-75.092680,city
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.89900,1,2.89900,2.89900,38.745950,-78.642240,city
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.91900,1,2.91900,2.91900,30.824910,-97.604450,city
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.15400,1,3.15400,3.15400,32.394860,-85.916900,city
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.95900,1,3.95900,3.95900,38.959220,-85.890250,city
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72567,1,3.72567,3.72567,41.261940,-95.860830,city
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51567,1,3.51567,3.51567,46.813880,-100.291500,city
75,Good 2 Go #709,US-50,Montrose,CO,810,3.42400,1,3.42400,3.42400,38.478320,-107.876170,city
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.22900,1,3.22900,3.22900,38.556500,-75.571310,city
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,243,3.24900,1,3.24900,3.24900,39.659480,-75.563590,city
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.43900,1,3.43900,3.43900,27.521710,-82.527600,city
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.45900,1,3.45900,3.45900,39.764710,-105.600280,city
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,135,3.49900,1,3.49900,3.49900,33.554020,-82.895980,city
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.33733,6,3.26900,3.42900,43.359470,-83.881640,city
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.29900,1,3.29900,3.29900,35.353910,-109.053700,city
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.47400,1,3.47400,3.47400,32.755900,-111.554840,city
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.60900,1,3.60900,3.60900,37.836150,-87.590010,city
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.43233,3,3.34900,3.54900,39.120040,-88.543380,city
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.47567,3,3.38900,3.58900,41.420870,-90.015110,city
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.62400,1,3.62400,3.62400,40.121150,-85.558030,city
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne,IN,370,3.59233,1,3.59233,3.59233,41.130600,-85.128860,city
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233,1,3.13233,3.13233,40.929450,-100.160680,city
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.85900,2,3.85900,3.85900,30.332180,-81.655650,city
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs,LA,600,3.23233,1,3.23233,3.23233,30.487400,-90.957530,city
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station,IN,365,3.80900,1,3.80900,3.80900,41.575040,-87.238920,city
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43567,1,3.43567,3.43567,41.318650,-87.200310,city
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches,TX,618,2.85900,1,2.85900,2.85900,31.603510,-94.655490,city
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.71900,1,3.71900,3.71900,41.261940,-95.860830,city
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft,WY,822,3.23900,1,3.23900,3.23900,44.263310,-104.950250,city
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233,1,3.23233,3.23233,42.763310,-93.368260,city
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18567,1,3.18567,3.18567,43.138020,-93.379370,city
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart,IA,320,3.09900,1,3.09900,3.09900,41.503320,-94.318570,city
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733,1,3.36733,3.36733,35.146480,-90.184540,city
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.29900,1,3.29900,3.29900,40.547760,-103.269660,city
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80567,1,3.80567,3.80567,38.840280,-97.611420,city
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.81400,2,3.79900,3.82900,41.553650,-87.451980,city
207,MARATHON,SR-32,Sardinia,OH,300,3.56567,1,3.56567,3.56567,39.007840,-83.808540,city
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41567,1,3.41567,3.41567,30.411310,-88.827810,city
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02567,1,3.02567,3.02567,38.840280,-97.611420,city
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.99900,1,2.99900,2.99900,38.025630,-84.495220,city
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.38567,2,3.35900,3.41233,29.187200,-82.140090,city
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.03900,1,3.03900,3.03900,30.452140,-91.210110,city
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.17900,1,3.17900,3.17900,41.137530,-87.448640,city
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233,1,2.98233,2.98233,30.235760,-92.185400,city
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.72900,1,3.72900,3.72900,29.954650,-90.075070,city
