name,state,latitude,longitude,population
'A'ala,HI,21.31544,-157.86283,4302
'Ahuimanu,HI,21.44472,-157.83778,8810
'Aiea,HI,21.38222,-157.93361,9338
'Aiea Heights,HI,21.39083,-157.92053,5487
'Alewa Heights,HI,21.34051,-157.84817,2305
'Ele'ele,HI,21.90738,-159.58322,2390
'Ewa Beach,HI,21.31556,-158.00722,16415
'Ewa Beach-Iroquois Point,HI,21.31532,-157.99133,21088
'Ewa Gentry,HI,21.33999,-158.03039,22690
'Ewa Gentry-West Loch,HI,21.35335,-158.02836,35828
'Ewa Villages,HI,21.34127,-158.03970,6108
'Ewa Villages-Honouliuli,HI,21.34530,-158.05121,6699
'Oma'o,HI,21.92581,-159.48818,1301
A'tla'nuwa,TN,35.04563,-85.30968,181099
A2,MI,42.27756,-83.74088,117070
ABE,PA,40.60843,-75.49018,120207
ABI,TX,32.44874,-99.73314,125182
ABQ,NM,35.08449,-106.65114,564559
ACT,TX,31.54933,-97.14667,132356
AHN,GA,33.96095,-83.37794,127315
ALB,NY,42.65258,-73.75623,101228
AMA,TX,35.22200,-101.83130,198645
ANA,CA,33.83529,-117.91450,350742
ANC,AK,61.21806,-149.90028,289600
ARB,MI,42.27756,-83.74088,117070
ATL,GA,33.74900,-84.38798,510823
AUS,TX,30.26715,-97.74306,974447
AUZ,IL,41.76058,-88.32007,200661
Aaronsburg,PA,40.89979,-77.45332,613
Abbeville,AL,31.57184,-85.25049,2620
Abbeville,GA,31.99212,-83.30682,2815
Abbeville,LA,29.97465,-92.13429,12434
Abbeville,SC,34.17817,-82.37901,5191
Abbotsford,WI,44.94636,-90.31597,2264
Abbott,TX,31.88488,-97.07334,358
Abbottstown,PA,39.88649,-76.98470,1020
Abell,MD,39.32595,-76.61139,975
Aberdeen,FL,26.55063,-80.14866,2672
Aberdeen,ID,42.94408,-112.83833,1929
Aberdeen,IN,41.43893,-87.11142,1875
Aberdeen,MA,42.34454,-71.14950,3575
Aberdeen,MD,39.50956,-76.16412,15580
Aberdeen,MS,33.82511,-88.54366,5397
Aberdeen,NC,35.13155,-79.42948,7343
Aberdeen,OH,38.65563,-83.76103,1607
Aberdeen,SD,45.46470,-98.48648,28102
Aberdeen,WA,46.97537,-123.81572,16276
Aberdeen Proving Ground,MD,39.46686,-76.13066,2093
Abernathy,TX,33.83230,-101.84295,2743
Abilenas,TX,32.44874,-99.73314,125182
Abilene,KS,38.91722,-97.21391,6558
Abilene,TX,32.44874,-99.73314,125182
Abilin,TX,32.44874,-99.73314,125182
Abilina,TX,32.44874,-99.73314,125182
